flight number,airline,distance
A-72AC,American Airlines,225
I-115,Delta,225
A-927,Delta,227
A-772,American Airlines,251
B-86A,Spirit,294
C-2757,Delta,363
A-123,Spirit,374
I-RMSY,Spirit,399
A-2500,Alaska Air,399
A-31A,Spirit,467
B-9738,American Airlines,470
A-B27,Alaska Air,475
D-995,Jet Blue,567
C-3757,American Airlines,743
I-T1A,Spirit,754
A-2787,Delta,765
A-1327,Spirit,807
C-3PO,Delta,823
I-I17,Spirit,826
I-114,Spirit,836
A-249,American Airlines,847
I-9394,Delta,894
B-999,Delta,934
I-245,Spirit,978
B-2275,Alaska Air,982
I-835,Alaska Air,998
I-76A,Spirit,1200
C-2748,Alaska Air,1201
A-UNV,American Airlines,1202
A-94A,Jet Blue,1234
C-76A,Spirit,1237
I-DOG,Alaska Air,1263
A-95A,American Airlines,1273
C-29D,Delta,1299
D-88,Jet Blue,1325
A-DSNY,American Airlines,1475
C-T13A,Jet Blue,1475
B-6579,Alaska Air,1500
C-2767,American Airlines,1527
A-775,Alaska Air,1634
D-98A,Delta,1742
B-D25A,American Airlines,1924
I-9224,American Airlines,1928
C-B94,American Airlines,2000
B-P245,American Airlines,2225
B-23,Alaska Air,2247
A-85A,Spirit,2400
B-BB8,American Airlines,2473
B-724,Alaska Air,2500
C-R2D2,Spirit,2600
